SD NO.,SD_Name,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,Mar-May,Jun-Sep,Oct-Dec
1,ANDAMAN & NICOBAR ISLANDS,1951,82.7,7.2,0,45.4,259,619.9,665.3,101.3,360.9,489,209.6,434.8,3275.1,89.9,304.4,1747.4,1133.4
2,ARUNACHAL PRADESH,1951,31.8,65.3,309.9,441,344.5,757.8,554.7,278.5,383.7,101.8,46.2,39.1,3354.3,97.1,1095.4,1974.7,187.1
3,ASSAM & MEGHALAYA,1951,4.5,2.9,54.6,230,270.6,688.4,665.9,444.4,241.5,302.2,46.3,5.4,2956.7,7.4,555.2,2040.2,353.9
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1951,3.9,0.2,62.4,360.1,233.7,495,436.2,440.5,191.1,310.6,54.9,20.8,2609.4,4.1,656.2,1562.8,386.3
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1951,1,0.5,22.7,69.3,239.8,546.5,778.3,503.7,326.1,158,37.3,0,2683.2,1.5,331.8,2154.6,195.3
6,GANGETIC WEST BENGAL,1951,0,0.4,62.1,13.1,67.4,180.7,253.5,260.3,200.1,140,36,0.4,1214,0.4,142.6,894.6,176.4
7,ORISSA,1951,2.2,0,89.7,37.1,48,172.5,339.1,349.5,165.5,155.6,37.1,0,1396.3,2.2,174.8,1026.6,192.7
8,JHARKHAND,1951,5.1,0.4,48.9,24.2,25.1,177.5,259.1,267,186.1,69.2,9,0,1071.6,5.5,98.2,889.7,78.2
9,BIHAR ,1951,7.3,1.5,5.8,8.2,22.9,144.2,307.3,204.2,114.5,28.7,4.7,0.1,849.4,8.8,36.9,770.2,33.5
10,EAST UTTAR PRADESH,1951,27.4,10.9,21.6,6.1,2.5,114.4,139.2,247.4,168.3,12.7,2,0.1,752.6,38.3,30.2,669.3,14.8
11,WEST UTTAR PRADESH,1951,16.4,8.2,34.7,6.8,11.6,31.3,141.3,251.7,197.9,6.4,18.6,0,724.9,24.6,53.1,622.2,25
12,UTTARANCHAL,1951,53.9,41.7,46.9,30.6,61.5,73.9,199.9,402.1,203.1,13.9,43.8,0.1,1171.4,95.6,139,879,57.8
13,"HARYANA, DELHI & CHANDIGARH",1951,8.3,0.4,33.6,11.9,9,18.2,52.5,136.1,36.5,0.2,26.7,0,333.4,8.7,54.5,243.3,26.9
14,PUNJAB ,1951,23.9,4.3,53.5,10.4,21.5,5.1,207.8,122.2,12.5,1.9,34.5,1.9,499.5,28.2,85.4,347.6,38.3
15,HIMACHAL PRADESH,1951,112.3,69.4,87.4,90.4,89.1,38.8,217.3,309.3,124.5,19.3,69.6,11.1,1238.5,181.7,266.9,689.9,100
16,JAMMU & KASHMIR,1951,104,96.5,117.8,86.9,91.3,62.8,118.7,159.9,26.3,22.1,25.2,31.8,943.3,200.5,296,367.7,79.1
17,WEST RAJASTHAN ,1951,0.1,0,6.4,5.1,16.4,20.2,33.6,83.3,0.8,0.2,13.8,0,179.9,0.1,27.9,137.9,14
18,EAST  RAJASTHAN ,1951,2,0,6.4,2.8,8.1,51,98.2,158,19.3,0.7,19.1,0,365.6,2,17.3,326.5,19.8
19,WEST MADHYA PRADESH,1951,5.3,0.4,6,0.5,3.5,88,231.7,205.5,85.5,18.9,4.4,0,649.7,5.7,10,610.7,23.3
20,EAST MADHYA PRADESH,1951,19.3,21,44.5,16.5,9.9,138.5,285.8,382.4,221.6,35.9,0,0,1175.4,40.3,70.9,1028.3,35.9
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1951,0,0,0.5,0.3,1.5,66.1,217.5,168,7.2,12.6,7.1,0.3,481.1,0,2.3,458.8,20
22,SAURASHTRA KUTCH & DIU,1951,0,0,0.9,0.8,1.4,40.3,133.4,90.4,6.7,0.5,18.5,0,292.9,0,3.1,270.8,19
23,KOKAN & GOA,1951,0,0,2,10.2,22.3,713,1116.3,510.2,126.8,269.4,38.1,0,2808.3,0,34.5,2466.3,307.5
24,MADHYA MAHARASHTRA,1951,0.1,0,0.5,9.3,29.5,150.1,250.2,136.3,71.7,128.9,20.1,0,796.7,0.1,39.3,608.3,149
25,MARATWADA ,1951,0.4,0,6.2,10.6,11.2,159.5,271,101.3,89.3,78.4,3.5,0,731.4,0.4,28,621.1,81.9
26,VIDARBHA,1951,4.6,0.6,41.9,14.6,11.1,136.8,348.8,318.6,123.1,81.5,0.6,0,1082.2,5.2,67.6,927.3,82.1
27,CHATTISGARH,1951,4.7,2.8,100.9,57.8,32.4,147,327.7,462.2,167.3,95.1,2,0,1399.9,7.5,191.1,1104.2,97.1
28,COSTAL ANDHRA PRADESH,1951,1.3,0,24.6,34.5,49.8,111.5,223.3,140.5,124.9,80.7,82.5,2.1,875.7,1.3,108.9,600.2,165.3
29,TELENGANA,1951,0,0,41.1,20,31.6,121.2,297.4,140.9,116.2,65.3,2.5,0.3,836.5,0,92.7,675.7,68.1
30,RAYALSEEMA,1951,0,0,16.5,34.7,76.7,61,95.1,47.4,79.7,67.4,27.5,0,506,0,127.9,283.2,94.9
31,TAMIL NADU & PONDICHERRY,1951,11.7,0.8,26.7,115.2,83,30.8,83.6,94.7,113.4,98.3,187.2,9.6,855,12.5,224.9,322.5,295.1
32,COASTAL KARNATAKA,1951,0,0,0.9,55.4,70.7,940.2,1083.4,441.1,268.9,187.1,76.2,0.4,3124.3,0,127,2733.6,263.7
33,NORTH INTERIOR KARNATAKA,1951,0,0,4.5,17.3,63.8,117.6,179,64.8,149,101.2,10.4,0.8,708.4,0,85.6,510.4,112.4
34,SOUTH INTERIOR KARNATAKA,1951,0.2,0,12.9,60.9,135.5,111.5,205.9,89.6,178.1,97.9,33.4,0,925.9,0.2,209.3,585.1,131.3
35,KERALA,1951,6.6,6.5,41.6,175.9,148.5,774.1,544.6,190.6,313.8,250.6,229.6,23.2,2705.6,13.1,366,1823.1,503.4
36,LAKSHADWEEP ,1951,24.3,28.9,35.3,129.9,108.4,445.1,524.2,43.7,156,68.6,103.6,47.3,1715.3,53.2,273.6,1169,219.5
1,ANDAMAN & NICOBAR ISLANDS,1952,0,0.8,69.7,39.4,452.9,657.7,385.5,541.3,240.3,315.6,287.5,89.2,3079.9,0.8,562,1824.8,692.3
2,ARUNACHAL PRADESH,1952,17.2,24.5,189.6,151.5,235.1,276.8,320.6,481.1,368.2,257.9,43.9,29.7,2396.1,41.7,576.2,1446.7,331.5
3,ASSAM & MEGHALAYA,1952,4,9.3,105.5,159.4,494.6,453.1,662.5,495,376.4,303.9,48.5,1.8,3114,13.3,759.5,1987,354.2
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1952,9.6,6.5,97.1,208.2,345.9,442.6,556.8,422.8,320.5,323.6,76.2,1.1,2810.9,16.1,651.2,1742.7,400.9
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1952,1.3,22.2,80.8,168.2,420.8,580.6,713,522.9,587.9,148.8,20.7,3.7,3270.9,23.5,669.8,2404.4,173.2
6,GANGETIC WEST BENGAL,1952,0.3,1.1,23.3,99.7,77,167.4,431,244.7,189.1,159.6,2.5,0,1395.7,1.4,200,1032.2,162.1
7,ORISSA,1952,0.3,9.5,26.2,53.2,44.4,187.1,356.4,352,307.9,176.6,2.2,1.1,1516.9,9.8,123.8,1203.4,179.9
8,JHARKHAND,1952,3.9,10.7,24.2,36,58,210.7,357.7,355.7,237.9,89.7,1.4,1.4,1387.3,14.6,118.2,1162,92.5
9,BIHAR ,1952,1.1,10.3,20,24.5,56.7,272.7,212.3,291.8,297.9,15.5,3.3,0.4,1206.5,11.4,101.2,1074.7,19.2
10,EAST UTTAR PRADESH,1952,2.8,12.8,33.7,2.7,9.4,244.8,161.9,350.1,110.8,4.4,0,2.6,936,15.6,45.8,867.6,7
11,WEST UTTAR PRADESH,1952,6.6,19.9,23.6,2.6,8.1,190.4,199.1,378.6,36.6,2.3,0.1,7.4,875.3,26.5,34.3,804.7,9.8
12,UTTARANCHAL,1952,39.3,61,125.4,19.8,34.7,239.7,345.3,506.4,81.8,11.2,3.6,6.4,1474.6,100.3,179.9,1173.2,21.2
13,"HARYANA, DELHI & CHANDIGARH",1952,8,16.6,11.6,3,10.1,63,125.9,298,1.2,0,0,4,541.4,24.6,24.7,488.1,4
14,PUNJAB ,1952,19.7,20.4,34,0.7,6.4,59.8,137,282.3,1.7,0.1,0.1,3.8,566,40.1,41.1,480.8,4
15,HIMACHAL PRADESH,1952,86.4,82.8,191.4,35.2,66.8,146.9,198.1,371.1,26.7,12.9,2.8,42.5,1263.6,169.2,293.4,742.8,58.2
16,JAMMU & KASHMIR,1952,88.1,92.9,195.5,41,60.3,78.8,178.4,222.4,19.7,1.3,15.4,72.8,1066.6,181,296.8,499.3,89.5
17,WEST RAJASTHAN ,1952,0,3.7,0.5,0.4,2,20.6,156.9,81.6,0.8,0.2,0.3,0.2,267.2,3.7,2.9,259.9,0.7
18,EAST  RAJASTHAN ,1952,0.7,3.3,0.9,2.2,0.3,107.9,349.3,225.6,7.3,0.2,0,4,701.7,4,3.4,690.1,4.2
19,WEST MADHYA PRADESH,1952,0.7,8.9,1.7,1.7,0.8,163.6,367.7,239.4,35.8,1.4,0,7.6,829.3,9.6,4.2,806.5,9
20,EAST MADHYA PRADESH,1952,1.1,27.1,8.8,2.9,2.6,196.4,386.8,400.3,117.1,8.3,0,4,1155.4,28.2,14.3,1100.6,12.3
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1952,0,0,0,0,0.2,135.9,483.3,138,11.6,1.9,0,0,770.9,0,0.2,768.8,1.9
22,SAURASHTRA KUTCH & DIU,1952,0,0.3,0,0.1,2,84.6,284.1,33.2,5.9,1.7,0.6,0,412.5,0.3,2.1,407.8,2.3
23,KOKAN & GOA,1952,0,0,0,2.8,23.4,719.7,1023.6,504,84.7,149,0,1.8,2509,0,26.2,2332,150.8
24,MADHYA MAHARASHTRA,1952,0,1.9,0,8.9,18.9,131.2,268.8,139.1,57.1,56.7,0,0.8,683.4,1.9,27.8,596.2,57.5
25,MARATWADA ,1952,0.2,18.8,0,3.3,21.7,95.4,144.6,87.2,136.1,36.4,0,2.3,546,19,25,463.3,38.7
26,VIDARBHA,1952,0,10.6,4.2,10.8,2.5,98,235.1,266.5,146,33.6,0,0.5,807.8,10.6,17.5,745.6,34.1
27,CHATTISGARH,1952,1.3,18.6,17,16.4,19.1,116.1,432.5,389.4,298.5,62.8,0,2.3,1374,19.9,52.5,1236.5,65.1
28,COSTAL ANDHRA PRADESH,1952,0,12.1,6.3,19.3,152,66.5,93.9,102.8,93.9,205.9,1.5,96.4,850.6,12.1,177.6,357.1,303.8
29,TELENGANA,1952,0.2,11.3,0.5,13.2,73.3,65.1,174.5,138.9,123.6,101.6,0.1,8.8,711.1,11.5,87,502.1,110.5
30,RAYALSEEMA,1952,0,2.7,0.7,10.9,169.5,46.3,55.3,66.5,55.1,107.9,4.4,88.7,608,2.7,181.1,223.2,201
31,TAMIL NADU & PONDICHERRY,1952,13.7,47.7,8.9,29.5,58.7,32.9,74.3,73.7,38.2,123.8,47.2,167.6,716.2,61.4,97.1,219.1,338.6
32,COASTAL KARNATAKA,1952,0,0.5,0,35.4,84.8,912.1,816.6,631.4,54.7,335.5,0,25.6,2896.6,0.5,120.2,2414.8,361.1
33,NORTH INTERIOR KARNATAKA,1952,0,8,0.1,32.1,98.3,52.9,132,64.7,85.2,141.6,0,13.7,628.6,8,130.5,334.8,155.3
34,SOUTH INTERIOR KARNATAKA,1952,0.3,10.6,0.6,40.3,77.8,106.9,176.7,155.4,66.5,188.4,0.7,48.4,872.6,10.9,118.7,505.5,237.5
35,KERALA,1952,5.2,48.2,20.8,112.2,214.6,576.7,430,413.6,57.4,339.6,49.6,66.9,2334.8,53.4,347.6,1477.7,456.1
36,LAKSHADWEEP ,1952,21.3,11.2,0.8,11.6,152.4,343.5,157.9,79.6,38.3,273,12.2,22.7,1124.5,32.5,164.8,619.3,307.9
1,ANDAMAN & NICOBAR ISLANDS,1953,56,65.3,20.1,159.4,241.1,549.9,444.4,262.8,370.1,243.6,246,63.3,2722,121.3,420.6,1627.2,552.9
2,ARUNACHAL PRADESH,1953,56.4,106.9,236,214.9,314.9,409.9,512.5,245.3,449.8,,10.4,23.4,,163.3,765.8,1617.5,
3,ASSAM & MEGHALAYA,1953,18.3,12.9,231,166.8,388.8,443.3,529,299.2,501.6,155,6.2,11.7,2763.8,31.2,786.6,1773.1,172.9
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1953,7.4,16.5,98.4,90,453.5,570.9,387,424.3,443.8,136.2,25,8.7,2661.7,23.9,641.9,1826,169.9
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1953,28.2,10.7,88.1,64.5,253.2,427.7,755.2,315.5,540.7,105.7,0.4,4.1,2594,38.9,405.8,2039.1,110.2
6,GANGETIC WEST BENGAL,1953,25.8,14.1,4.8,13.6,61.9,311.1,358.3,343.1,278.5,56,38.6,0,1505.8,39.9,80.3,1291,94.6
7,ORISSA,1953,39.9,5.9,0.2,13.8,23.7,182.8,318.9,512.1,231.5,59.2,49.8,0,1437.8,45.8,37.7,1245.3,109
8,JHARKHAND,1953,35.3,11,0.8,7.4,28.5,213,440,416.2,314.5,23.4,19.3,0,1509.4,46.3,36.7,1383.7,42.7
9,BIHAR ,1953,29.6,4.2,8.7,16.6,37.3,223.8,430.1,263.5,342.8,18.4,0.9,0.8,1376.7,33.8,62.6,1260.2,20.1
10,EAST UTTAR PRADESH,1953,32.4,6.3,1.3,3.4,14.9,138.4,497.5,323.7,243.6,3.6,0,1.7,1266.8,38.7,19.6,1203.2,5.3
11,WEST UTTAR PRADESH,1953,36.6,0.5,0,5.7,7.4,64.6,367.9,193,85.1,1.1,0,0.5,762.4,37.1,13.1,710.6,1.6
12,UTTARANCHAL,1953,117.7,14.8,18.3,34.6,71.1,180.1,615,338,125.1,9.8,0,34.9,1559.4,132.5,124,1258.2,44.7
13,"HARYANA, DELHI & CHANDIGARH",1953,39.5,1.5,0,4.1,5.9,56.5,243.8,149.7,47.4,1.2,0,6.2,555.8,41,10,497.4,7.4
14,PUNJAB ,1953,47.1,1.5,0,8.2,2.2,54.3,262.7,153.3,72.1,0.5,0.4,9.3,611.6,48.6,10.4,542.4,10.2
15,HIMACHAL PRADESH,1953,149.2,51.9,98.3,86.6,36.9,107.6,390.9,330.3,90.2,11.6,9.3,62.8,1425.6,201.1,221.8,919,83.7
16,JAMMU & KASHMIR,1953,135.2,45.1,94.8,94.2,28.5,74,254.2,268.5,118.3,49.2,15.4,55.5,1232.9,180.3,217.5,715,120.1
17,WEST RAJASTHAN ,1953,5.9,0,0,0.8,6.5,15.7,70.9,180.5,23.6,0.1,0,0.3,304.3,5.9,7.3,290.7,0.4
18,EAST  RAJASTHAN ,1953,31.8,0,0,1.5,2.3,58.8,164.3,269.2,49.4,2.3,0,1.1,580.7,31.8,3.8,541.7,3.4
19,WEST MADHYA PRADESH,1953,19.1,0,0,2,1.1,72.6,273,304.2,107.1,14.5,0,0.1,793.7,19.1,3.1,756.9,14.6
20,EAST MADHYA PRADESH,1953,16.4,4.8,0,7.1,2,42.7,408.3,348,160.8,16.3,0,0.6,1007,21.2,9.1,959.8,16.9
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1953,12.6,0,0,0.1,0.3,141.9,240.4,561.2,104.6,1.1,0,0.4,1062.6,12.6,0.4,1048.1,1.5
22,SAURASHTRA KUTCH & DIU,1953,6.2,0.4,0.4,0,0.1,69.8,113.2,451.5,72.4,1.1,0,0,715.1,6.6,0.5,706.9,1.1
23,KOKAN & GOA,1953,0,0,0,15.1,0,928.3,1318.5,711.7,210.2,151.9,0.2,0,3335.9,0,15.1,3168.7,152.1
24,MADHYA MAHARASHTRA,1953,1.2,0,0.1,24.5,2,186.3,216.5,220.2,126.8,116.1,0,0,893.7,1.2,26.6,749.8,116.1
25,MARATWADA ,1953,0.3,0,0.3,15.2,0.4,200.4,217.9,160.6,208,88.1,0,0,891.2,0.3,15.9,786.9,88.1
26,VIDARBHA,1953,3.9,1.1,0,21.4,0.2,138.2,299.4,449.9,173,50.7,0,0,1137.8,5,21.6,1060.5,50.7
27,CHATTISGARH,1953,23.2,5,0.1,22.1,5.5,144.2,421.7,487.4,211.5,57.7,2.5,0,1380.9,28.2,27.7,1264.8,60.2
28,COSTAL ANDHRA PRADESH,1953,11.7,0.6,0,17.7,28.7,115.8,130.5,158.3,162.9,286,20.3,0.7,933.2,12.3,46.4,567.5,307
29,TELENGANA,1953,3.8,0,0.9,25.3,1.9,192,186.8,281,253.6,174.8,0.7,0,1120.8,3.8,28.1,913.4,175.5
30,RAYALSEEMA,1953,0.6,0.3,0,40.1,18.1,62.2,130,45.2,145.8,285,21,0.2,748.5,0.9,58.2,383.2,306.2
31,TAMIL NADU & PONDICHERRY,1953,13,15.8,4.8,97.8,45.8,67.6,111.7,86.2,131.1,278.2,97.1,18.9,968,28.8,148.4,396.6,394.2
32,COASTAL KARNATAKA,1953,0.3,0,0,48.2,8.6,666.2,1630.1,633.6,160,313.4,2.9,0,3463.3,0.3,56.8,3089.9,316.3
33,NORTH INTERIOR KARNATAKA,1953,0,0,0.1,38.9,5.8,127.8,192.4,91.6,186.2,248.3,0,0,891.1,0,44.8,598,248.3
34,SOUTH INTERIOR KARNATAKA,1953,0.5,2.2,0.7,71.3,34.7,163.9,368,191.3,113.1,307.1,2.5,0.5,1255.8,2.7,106.7,836.3,310.1
35,KERALA,1953,13.1,22.6,18.5,132.4,55.4,340.5,1027.6,356.4,100.5,410.5,62.2,5.1,2544.8,35.7,206.3,1825,477.8
36,LAKSHADWEEP ,1953,10.4,40.8,9.3,35,15.3,205.8,537,69.4,125.5,452.4,95.6,9.7,1606.2,51.2,59.6,937.7,557.7
1,ANDAMAN & NICOBAR ISLANDS,1954,83.8,2.1,34.3,58,394.7,539.4,510.8,605.4,763.8,247.2,84.8,124.7,3449,85.9,487,2419.4,456.7
3,ASSAM & MEGHALAYA,1954,21.8,45.4,38.6,258.2,529,698.6,653.2,467.4,237.6,156.9,1.8,23.3,3131.8,67.2,825.8,2056.8,182
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1954,12.8,52.4,37.7,165.3,300.2,619.8,491.4,558.3,361.7,294.2,2.4,8.8,2905,65.2,503.2,2031.2,305.4
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1954,15.7,10.2,10,71.1,308.9,841.5,961.5,496.2,250.8,85.6,0.7,3.5,3055.7,25.9,390,2550,89.8
6,GANGETIC WEST BENGAL,1954,12.3,5.9,0.3,11.6,88.6,211.1,201.7,215.1,247.1,56.8,1.5,28,1080,18.2,100.5,875,86.3
7,ORISSA,1954,0.6,6.2,8.6,19.2,50.2,163.2,211.7,271.9,344,118.2,0,14.2,1208,6.8,78,990.8,132.4
8,JHARKHAND,1954,12.4,8.4,4.3,3.5,29.7,160.9,272.2,267.4,257.8,35.3,0.6,7,1059.5,20.8,37.5,958.3,42.9
9,BIHAR ,1954,12.5,8.5,0.9,0.6,40.8,167,364.8,308.8,129.6,15.1,0.2,1.3,1050.1,21,42.3,970.2,16.6
10,EAST UTTAR PRADESH,1954,36.5,32.1,1.7,0,3.6,65.2,309.9,300.4,186.5,33.6,0,0.2,969.7,68.6,5.3,862,33.8
11,WEST UTTAR PRADESH,1954,35.1,67.6,11,0.1,0.9,40.5,232.1,221.9,169.3,99.4,0,0,877.9,102.7,12,663.8,99.4
12,UTTARANCHAL,1954,117.6,155.4,22.2,5.2,27.5,110.9,472.7,564.7,216.8,148.8,3.4,13.4,1858.6,273,54.9,1365.1,165.6
13,"HARYANA, DELHI & CHANDIGARH",1954,25.1,88.5,10.4,0.4,3.5,26.6,150.9,47.4,132.4,50.3,0.3,0,535.8,113.6,14.3,357.3,50.6
14,PUNJAB ,1954,30.8,92.2,9.5,0.1,2.4,27.6,181.8,45.7,226.5,16.6,0,0,633.2,123,12,481.6,16.6
15,HIMACHAL PRADESH,1954,196.4,271.8,87.2,13,52.2,47.5,336.6,348.9,293.4,46.2,7.6,16.7,1717.5,468.2,152.4,1026.4,70.5
16,JAMMU & KASHMIR,1954,300.8,244.9,58.4,15.6,70.8,25.1,94.6,122.6,284.8,36.6,15.2,11.8,1281.2,545.7,144.8,527.1,63.6
17,WEST RAJASTHAN ,1954,1.6,13.4,0.6,0,0.8,16.2,97,35.6,82.3,2,1,0,250.5,15,1.4,231.1,3
18,EAST  RAJASTHAN ,1954,4,19.7,4.8,0,0.1,41.3,251.9,75.7,233.2,24,0.4,0,655.1,23.7,4.9,602.1,24.4
19,WEST MADHYA PRADESH,1954,12.3,11.9,5.4,0.1,1,70.6,318.7,183.2,480.1,16.9,0.3,0,1100.5,24.2,6.5,1052.6,17.2
20,EAST MADHYA PRADESH,1954,16.6,12.2,6.4,3.1,0.1,80.5,329.7,289.5,332,5.8,0,0.6,1076.5,28.8,9.6,1031.7,6.4
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1954,0.1,2.2,6,0,0.2,116.2,352.4,214.2,519.3,33.2,0.1,2.6,1246.5,2.3,6.2,1202.1,35.9
22,SAURASHTRA KUTCH & DIU,1954,1.8,1.3,3.6,0,0.3,51.2,192.3,207.8,156.1,0.8,0.5,1.3,617,3.1,3.9,607.4,2.6
23,KOKAN & GOA,1954,0,2.1,3.8,7.2,3.9,589.1,1467.3,912.1,760.2,48.1,0.1,8.8,3802.7,2.1,14.9,3728.7,57
24,MADHYA MAHARASHTRA,1954,2,0.4,16,6,15.8,158.5,305.3,171.7,263,30.1,0,16.2,985,2.4,37.8,898.5,46.3
25,MARATWADA ,1954,0.4,0,15.5,5.6,5.2,181,276,138.8,255.6,11.9,0,9.7,899.7,0.4,26.3,851.4,21.6
26,VIDARBHA,1954,0.3,0.6,11.4,4,1.1,132.4,407.9,248.8,288.3,4.6,0.9,0.1,1100.4,0.9,16.5,1077.4,5.6
27,CHATTISGARH,1954,2.4,1.9,6.1,12,10.6,112.3,312.7,357.6,354.7,18,0,5.1,1193.4,4.3,28.7,1137.3,23.1
28,COSTAL ANDHRA PRADESH,1954,2.3,0.1,8.9,5.2,27.7,103.1,212.8,161.7,219.8,283.1,4.1,39.8,1068.6,2.4,41.8,697.4,327
29,TELENGANA,1954,0,0,10.3,4.7,13.7,100.2,297.1,194,242.5,42.5,0,3.8,908.8,0,28.7,833.8,46.3
30,RAYALSEEMA,1954,7.4,0,8.2,10.4,36.2,48.2,177.3,79.1,62.9,176.8,0,56.2,662.7,7.4,54.8,367.5,233
31,TAMIL NADU & PONDICHERRY,1954,77.5,2.7,58.2,54.2,77.9,35.5,118.5,147.2,34,271,32.6,107,1016.3,80.2,190.3,335.2,410.6
32,COASTAL KARNATAKA,1954,0.5,0,21.6,61.1,89.8,1034.4,1357.4,688.7,421.8,133.6,0.6,12.1,3821.6,0.5,172.5,3502.3,146.3
33,NORTH INTERIOR KARNATAKA,1954,0,0,16.9,19.7,44.9,80.1,216.4,152.7,78.2,62.8,0.2,11.4,683.3,0,81.5,527.4,74.4
34,SOUTH INTERIOR KARNATAKA,1954,1.8,0.5,8.9,38.8,127.5,139.2,298.8,174.3,57,166.6,0.5,18.8,1032.7,2.3,175.2,669.3,185.9
35,KERALA,1954,23.5,2.8,90.6,136.9,179.5,798.3,640.5,467,201.6,303.1,31.6,62.5,2937.9,26.3,407,2107.4,397.2
36,LAKSHADWEEP ,1954,74.1,0,14.6,39.8,122.3,375.2,259.5,232.9,123.5,256.2,34.1,23.3,1555.5,74.1,176.7,991.1,313.6
1,ANDAMAN & NICOBAR ISLANDS,1955,57.3,28.2,9.9,68.8,663.6,651.1,298.4,356.9,341.8,466.5,362.9,44.2,3349.6,85.5,742.3,1648.2,873.6
3,ASSAM & MEGHALAYA,1955,9.6,9.3,140.2,217.3,347.1,627.1,651.2,448.9,318,149.8,95.3,7.9,3021.7,18.9,704.6,2045.2,253
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1955,6.2,5.7,161.3,213.6,280.6,461.4,559.2,514.7,253.8,183.5,220.2,5.1,2865.3,11.9,655.5,1789.1,408.8
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1955,4.6,2.8,34.6,71.5,220.5,541,1064.6,626.2,365,51.3,6.1,4.6,2992.8,7.4,326.6,2596.8,62
6,GANGETIC WEST BENGAL,1955,2.9,2.3,11.4,24.3,48,174.7,338.8,251.9,188.1,151.9,73.9,0.1,1268.3,5.2,83.7,953.5,225.9
7,ORISSA,1955,0.1,0.2,8.4,29.6,76.5,201.7,238,355.9,371.4,262.7,52.3,0.3,1597.1,0.3,114.5,1167,315.3
8,JHARKHAND,1955,43.6,9.8,5.9,5.1,23.9,137.7,347.1,240.5,155.4,96.9,14.8,0.1,1080.8,53.4,34.9,880.7,111.8
9,BIHAR ,1955,20.1,6.7,2.3,11.9,28.2,172.4,504.3,268.3,192.1,35.8,0.3,0.1,1242.5,26.8,42.4,1137.1,36.2
10,EAST UTTAR PRADESH,1955,34.4,9.6,1.2,1.9,4.5,202.1,529.9,310.8,230.7,99.1,0,0.1,1424.3,44,7.6,1273.5,99.2
11,WEST UTTAR PRADESH,1955,44.7,5.6,2.3,3.3,2.1,97.1,199.4,295.2,216.1,193.7,0,0,1059.5,50.3,7.7,807.8,193.7
12,UTTARANCHAL,1955,84.5,14.1,51.7,41.1,19.7,149.4,354,428.4,236.9,270.9,0,11.3,1662,98.6,112.5,1168.7,282.2
13,"HARYANA, DELHI & CHANDIGARH",1955,33.1,1.9,7.2,7.5,12.9,63.2,106.8,177.3,161.6,130.9,2.8,0.6,705.8,35,27.6,508.9,134.3
14,PUNJAB ,1955,33,3.6,24.9,20.5,18.6,38,148.7,169.7,144.2,370.3,0,2.6,974.1,36.6,64,500.6,372.9
15,HIMACHAL PRADESH,1955,165,42,141.4,87.7,114.7,86.2,320.9,337.5,194.4,413.6,0.3,15.5,1919.2,207,343.8,939,429.4
16,JAMMU & KASHMIR,1955,29.3,9.5,77.2,40.4,110.5,20.4,161.3,215,59,124.8,0,13.6,861,38.8,228.1,455.7,138.4
17,WEST RAJASTHAN ,1955,2.4,2.1,3.3,0.9,8.7,22.6,7.7,230.6,91.7,21,0,0.3,391.3,4.5,12.9,352.6,21.3
18,EAST  RAJASTHAN ,1955,9.5,3.6,0.7,0,3.4,98.9,61.4,357.1,226,73.2,0,0.1,833.9,13.1,4.1,743.4,73.3
19,WEST MADHYA PRADESH,1955,26.8,2.2,0.6,1.5,1.5,188.8,97.7,441.1,249.5,139.5,0,0,1149.2,29,3.6,977.1,139.5
20,EAST MADHYA PRADESH,1955,70.9,3,1.6,3,3.4,236.4,260.2,427.1,295.7,119.6,0,0,1420.9,73.9,8,1219.4,119.6
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1955,0.3,0.1,0.1,0.7,3,105,110.6,399.9,306.7,50,0.2,0,976.6,0.4,3.8,922.2,50.2
22,SAURASHTRA KUTCH & DIU,1955,0,0,0.8,0,0.8,24.5,27.3,140.8,180.8,7.5,0.1,0.5,383.1,0,1.6,373.4,8.1
23,KOKAN & GOA,1955,0.2,0,1.7,11.8,36,764.8,976.3,1311,471,298.3,13.6,0,3884.7,0.2,49.5,3523.1,311.9
24,MADHYA MAHARASHTRA,1955,3.2,0,6.8,12.2,25.8,140.9,149.6,254.3,218.9,159,10.4,0,981.1,3.2,44.8,763.7,169.4
25,MARATWADA ,1955,6.5,0,2.4,3.4,12.2,229.8,213.2,364.7,208.6,109.3,1.2,0,1151.3,6.5,18,1016.3,110.5
26,VIDARBHA,1955,15.5,0.3,2.3,6.8,5,274.7,278.4,371.8,244.6,169.1,0.2,0,1368.7,15.8,14.1,1169.5,169.3
